"thres","X1","X2","X3","X1.1","X2.1","X3.1"
"289",55.35,0.81,0.63,0.93,0.06,0.02,0.11
"290",55.53,0.81,0.63,0.93,0.06,0.02,0.11
"291",55.72,0.81,0.63,0.93,0.06,0.02,0.11
"292",55.9,0.81,0.63,0.93,0.06,0.02,0.11
"293",56.09,0.81,0.63,0.93,0.06,0.02,0.11
"294",56.27,0.81,0.63,0.93,0.06,0.02,0.11
"295",56.46,0.81,0.63,0.93,0.06,0.02,0.11
"296",56.64,0.81,0.63,0.93,0.05,0.02,0.11
"297",56.83,0.81,0.63,0.93,0.05,0.02,0.11
"298",57.01,0.81,0.63,0.93,0.05,0.02,0.11
"299",57.2,0.81,0.63,0.93,0.05,0.02,0.11
"300",57.38,0.81,0.63,0.93,0.05,0.02,0.11
"301",57.57,0.81,0.63,0.93,0.05,0.02,0.11
"302",57.75,0.81,0.63,0.93,0.05,0.02,0.11
"303",57.94,0.81,0.63,0.93,0.05,0.02,0.11
"304",58.13,0.81,0.63,0.93,0.05,0.02,0.11
"305",58.31,0.81,0.63,0.93,0.05,0.02,0.11
"306",58.5,0.81,0.63,0.93,0.05,0.02,0.11
"307",58.68,0.81,0.63,0.93,0.05,0.02,0.11
"308",58.87,0.81,0.63,0.93,0.05,0.02,0.11
"309",59.05,0.81,0.63,0.93,0.05,0.02,0.11
"310",59.24,0.81,0.63,0.93,0.05,0.02,0.11
"311",59.42,0.81,0.63,0.93,0.05,0.02,0.11
"312",59.61,0.81,0.63,0.93,0.05,0.02,0.11
"313",59.79,0.81,0.63,0.93,0.05,0.02,0.11
"314",59.98,0.81,0.63,0.93,0.05,0.02,0.11
"315",60.16,0.81,0.63,0.93,0.05,0.02,0.11
"316",60.35,0.81,0.63,0.93,0.05,0.02,0.11
"317",60.53,0.81,0.63,0.93,0.05,0.02,0.11
"318",60.72,0.81,0.63,0.93,0.05,0.02,0.11
"319",60.9,0.81,0.63,0.93,0.05,0.02,0.11
"320",61.09,0.81,0.63,0.93,0.05,0.02,0.11
"321",61.27,0.81,0.63,0.93,0.05,0.02,0.11
"322",61.46,0.81,0.63,0.93,0.05,0.02,0.11
"323",61.64,0.81,0.63,0.93,0.05,0.02,0.11
"324",61.83,0.81,0.63,0.93,0.05,0.02,0.11
"325",62.02,0.81,0.63,0.93,0.05,0.02,0.11
