"thres","X1","X2","X3","X1.1","X2.1","X3.1"
"180",35.16,0.68,0.44,1,0.07,0,0.31
"181",35.34,0.67,0.44,1,0.07,0,0.31
"182",35.53,0.67,0.44,1,0.07,0,0.31
"183",35.71,0.67,0.44,1,0.07,0,0.31
"184",35.9,0.67,0.44,1,0.07,0,0.31
"185",36.08,0.67,0.44,1,0.07,0,0.31
"186",36.27,0.67,0.43,1,0.07,0,0.31
"187",36.45,0.67,0.43,1,0.07,0,0.31
"188",36.64,0.67,0.43,1,0.07,0,0.31
"189",36.82,0.67,0.43,1,0.07,0,0.31
"190",37.01,0.67,0.43,1,0.07,0,0.31
"191",37.19,0.67,0.43,1,0.07,0,0.31
"192",37.38,0.67,0.43,1,0.07,0,0.31
"193",37.56,0.67,0.43,1,0.07,0,0.31
"194",37.75,0.67,0.43,1,0.07,0,0.31
"195",37.93,0.67,0.43,1,0.07,0,0.31
"196",38.12,0.67,0.43,1,0.06,0,0.31
"197",38.31,0.67,0.43,1,0.06,0,0.31
"198",38.49,0.67,0.42,1,0.06,0,0.31
"199",38.68,0.67,0.42,1,0.06,0,0.31
"200",38.86,0.67,0.42,1,0.06,0,0.31
"201",39.05,0.67,0.42,1,0.06,0,0.31
"202",39.23,0.67,0.42,1,0.06,0,0.31
"203",39.42,0.67,0.42,1,0.06,0,0.31
"204",39.6,0.67,0.42,1,0.06,0,0.31
"205",39.79,0.67,0.42,1,0.06,0,0.31
"206",39.97,0.67,0.42,1,0.06,0,0.31
"207",40.16,0.67,0.42,1,0.06,0,0.31
"208",40.34,0.67,0.42,1,0.06,0,0.31
"209",40.53,0.67,0.42,1,0.06,0,0.31
"210",40.71,0.67,0.42,1,0.06,0,0.31
"211",40.9,0.67,0.42,1,0.06,0,0.31
"212",41.08,0.67,0.42,1,0.06,0,0.31
"213",41.27,0.67,0.41,1,0.06,0,0.31
"214",41.45,0.67,0.41,1,0.06,0,0.31
"215",41.64,0.67,0.41,1,0.06,0,0.31
"216",41.82,0.66,0.41,1,0.06,0,0.31
"217",42.01,0.66,0.41,1,0.06,0,0.31
"218",42.2,0.66,0.41,1,0.06,0,0.31
"219",42.38,0.66,0.41,1,0.06,0,0.31
"220",42.57,0.66,0.41,1,0.06,0,0.31
"221",42.75,0.66,0.41,1,0.06,0,0.31
"222",42.94,0.66,0.41,1,0.06,0,0.31
"223",43.12,0.66,0.41,1,0.06,0,0.31
"224",43.31,0.66,0.41,1,0.06,0,0.31
"225",43.49,0.66,0.41,1,0.06,0,0.3
"226",43.68,0.66,0.41,1,0.06,0,0.3
"227",43.86,0.66,0.41,1,0.06,0,0.3
"228",44.05,0.66,0.41,1,0.06,0,0.3
"229",44.23,0.66,0.4,1,0.06,0,0.3
"230",44.42,0.66,0.4,1,0.06,0,0.3
"231",44.6,0.66,0.4,1,0.06,0,0.3
"232",44.79,0.66,0.4,1,0.06,0,0.3
"233",44.97,0.66,0.4,1,0.06,0,0.3
"234",45.16,0.66,0.4,1,0.06,0,0.3
"235",45.34,0.66,0.4,1,0.06,0,0.3
"236",45.53,0.66,0.4,1,0.06,0,0.3
"237",45.71,0.66,0.4,1,0.06,0,0.3
"238",45.9,0.66,0.4,1,0.06,0,0.3
"239",46.09,0.66,0.4,1,0.06,0,0.3
"240",46.27,0.66,0.4,1,0.06,0,0.3
"241",46.46,0.66,0.4,1,0.06,0,0.3
"242",46.64,0.66,0.4,1,0.06,0,0.3
"243",46.83,0.66,0.39,1,0.06,0,0.3
"244",47.01,0.66,0.39,1,0.06,0,0.3
"245",47.2,0.66,0.39,1,0.06,0,0.3
"246",47.38,0.66,0.39,1,0.06,0,0.3
"247",47.57,0.66,0.39,1,0.06,0,0.3
"248",47.75,0.66,0.39,1,0.06,0,0.3
"249",47.94,0.66,0.39,1,0.06,0,0.3
"250",48.12,0.66,0.39,1,0.06,0,0.3
"251",48.31,0.66,0.39,1,0.06,0,0.3
"252",48.49,0.66,0.39,1,0.06,0,0.3
"253",48.68,0.66,0.39,1,0.06,0,0.3
"254",48.86,0.66,0.39,1,0.06,0,0.3
"255",49.05,0.66,0.39,1,0.06,0,0.3
"256",49.23,0.65,0.38,1,0.06,0,0.3
"257",49.42,0.65,0.38,1,0.06,0,0.3
"258",49.6,0.65,0.38,1,0.06,0,0.3
"259",49.79,0.65,0.38,1,0.06,0,0.3
"260",49.97,0.65,0.38,1,0.06,0,0.3
"261",50.16,0.65,0.38,1,0.06,0,0.3
"262",50.35,0.65,0.38,1,0.06,0,0.3
"263",50.53,0.65,0.38,1,0.06,0,0.3
"264",50.72,0.65,0.38,1,0.06,0,0.3
"265",50.9,0.65,0.38,1,0.06,0,0.3
"266",51.09,0.65,0.38,1,0.06,0,0.3
"267",51.27,0.65,0.38,1,0.06,0,0.3
"268",51.46,0.65,0.38,1,0.06,0,0.3
"269",51.64,0.65,0.38,1,0.06,0,0.3
"270",51.83,0.65,0.38,1,0.06,0,0.3
"271",52.01,0.65,0.37,1,0.06,0,0.3
"272",52.2,0.65,0.37,1,0.06,0,0.3
"273",52.38,0.65,0.37,1,0.06,0,0.3
"274",52.57,0.65,0.37,1,0.06,0,0.3
"275",52.75,0.65,0.37,1,0.06,0,0.3
"276",52.94,0.65,0.37,1,0.06,0,0.3
"277",53.12,0.65,0.37,1,0.06,0,0.3
"278",53.31,0.65,0.37,1,0.06,0,0.3
"279",53.49,0.65,0.37,1,0.06,0,0.3
"280",53.68,0.65,0.37,1,0.06,0,0.3
"281",53.86,0.65,0.37,1,0.06,0,0.3
"282",54.05,0.65,0.37,1,0.06,0,0.3
"283",54.24,0.65,0.37,1,0.06,0,0.3
"284",54.42,0.65,0.37,1,0.06,0,0.3
"285",54.61,0.65,0.37,1,0.06,0,0.3
"286",54.79,0.65,0.37,1,0.06,0,0.29
"287",54.98,0.65,0.36,1,0.06,0,0.29
"288",55.16,0.65,0.36,1,0.06,0,0.29
"289",55.35,0.65,0.36,1,0.06,0,0.29
"290",55.53,0.65,0.36,1,0.06,0,0.29
"291",55.72,0.65,0.36,1,0.05,0,0.29
"292",55.9,0.65,0.36,1,0.05,0,0.29
"293",56.09,0.65,0.36,1,0.05,0,0.29
"294",56.27,0.65,0.36,1,0.05,0,0.29
"295",56.46,0.65,0.36,1,0.05,0,0.29
"296",56.64,0.65,0.36,1,0.05,0,0.29
"297",56.83,0.65,0.36,1,0.05,0,0.29
"298",57.01,0.65,0.36,1,0.05,0,0.29
"299",57.2,0.65,0.35,1,0.05,0,0.29
"300",57.38,0.65,0.35,1,0.05,0,0.29
